original_order,Image_name,prop_ungerminated,prop_chlorotic,,number_seeds,ungerminated_seeds,chlorotic_seedlings,anything_else_interesting,date
306,1-A-0409.jpg,0.166666667,0,,30,5,0,,1/1/2021
307,1-A-0410.jpg,0.25,0.0625,,16,4,1,,1/1/2021
308,1-A-0411.jpg,0.033333333,0,,30,1,0,,1/1/2021
309,1-A-0412.jpg,0.1,0,,30,3,0,,1/1/2021
310,1-A-0414.jpg,0.428571429,0.285714286,,7,3,2,pink/white,1/1/2021
311,1-A-0415.jpg,0.2,0,,30,6,0,,1/1/2021
312,1-A-0416.jpg,0,0.3,,30,0,9,pink/white,1/1/2021
313,1-A-0417.jpg,0.133333333,0,,30,4,0,,1/1/2021
314,1-A-0418.jpg,0.033333333,0,,30,1,0,,1/1/2021
315,1-A-0419.jpg,0,0,,30,0,0,,1/1/2021
316,1-A-0420.jpg,0,0,,30,0,0,,1/1/2021
317,1-A-0421.jpg,0.033333333,0,,30,1,0,,1/1/2021
318,1-A-0422.jpg,0,0.133333333,,30,0,4,pure white,1/1/2021
319,1-A-0423.jpg,0.033333333,0,,30,1,0,,1/1/2021
320,1-A-0424.jpg,0.033333333,0,,30,1,0,,1/1/2021
321,1-A-0425.jpg,0.066666667,0,,30,2,0,,1/1/2021
322,1-A-0426.jpg,0.066666667,0,,30,2,0,,1/1/2021
323,1-A-0427.jpg,0,0,,30,0,0,,1/1/2021
324,1-A-0428.jpg,0.033333333,0.133333333,,30,1,4,white/pink,1/1/2021
325,1-A-0429.jpg,0.066666667,0,,30,2,0,,1/1/2021
326,1-A-0430.jpg,0.133333333,0.433333333,,30,4,13,pure white,1/1/2021
327,1-A-0431.jpg,0.033333333,0,,30,1,0,,1/1/2021
328,1-A-0432.jpg,0.083333333,0,,12,1,0,,1/1/2021
329,1-A-0433.jpg,0.033333333,0,,30,1,0,inverted seedlings,1/1/2021
330,1-A-0435.jpg,0.033333333,0,,30,1,0,,1/1/2021
331,1-A-0436.jpg,0.033333333,0,,30,1,0,,1/1/2021
332,1-A-0437.jpg,0,0,,12,0,0,,1/1/2021
333,1-A-0438.jpg,0.233333333,0,,30,7,0,,1/1/2021
334,1-A-0439.jpg,0.2,0,,30,6,0,,1/1/2021
335,1-A-0440.jpg,0,0,,30,0,0,,1/1/2021
336,1-A-0441.jpg,0.1,0,,20,2,0,,1/1/2021
337,1-A-0444.jpg,0,0,,30,0,0,,1/1/2021
338,1-A-0445.jpg,0,0,,30,0,0,,1/1/2021
